Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2015,Developing,65.7,256,2,,0,95,0,37.9,2,96,,95,2.2,6532.651,229197,6.4,6.1,0.698,12.6
Botswana,2014,Developing,65.1,268,2,0.01,662.802194,95,1,37.3,2,96,5.41,95,2.3,7497.762376,2168573,6.7,6.4,0.697,12.6
Botswana,2013,Developing,64.2,286,2,0.01,1.117811275,95,1,36.8,2,96,5.84,95,2.8,77.625783,212857,7,6.7,0.693,12.6
Botswana,2012,Developing,63.4,3,2,0.01,12.83447357,95,7,36.2,3,96,6.27,95,4.4,729.231453,289315,7.3,7,0.687,12.5
Botswana,2011,Developing,62.2,325,2,5.76,668.9562854,95,8,35.7,3,96,5.25,95,5.5,7645.21469,251339,7.7,7.4,0.678,12.4
Botswana,2010,Developing,61.1,349,2,5.99,547.0386679,95,853,35.2,3,96,5.64,95,6.2,6346.15624,214866,8,7.8,0.669,12.3
Botswana,2009,Developing,59.2,393,2,5.01,426.7855662,94,184,34.7,3,96,6.39,96,9,5185.729845,1979882,8.4,8.2,0.661,12.2
Botswana,2008,Developing,57.5,427,2,6.56,476.8625872,94,0,34.2,3,96,5.55,96,12.7,5623.379566,1946351,8.8,8.6,0.646,12.1
Botswana,2007,Developing,56.9,436,2,6.21,512.5887995,93,1,33.7,3,96,4.71,96,13.4,5714.47937,1914414,9.2,9,0.63,12.1
Botswana,2006,Developing,54.8,491,2,6.45,76.31867911,93,6,33.2,3,96,4.93,96,14.4,5374.554867,1884238,9.6,9.4,0.61,11.9
Botswana,2005,Developing,51.7,566,2,6.37,629.8425643,92,5,32.7,3,96,5.62,96,20.6,5351.253732,1855852,1,9.9,0.593,11.9
Botswana,2004,Developing,48.1,652,2,4.9,469.5823898,91,1,32.2,4,96,5.56,96,28.4,4896.583835,182933,1.5,1.4,0.58,11.8
Botswana,2003,Developing,46.4,693,2,5.51,299.3671252,9,59,31.6,4,96,4.65,96,31.9,4163.6596,184339,1.9,1.8,0.567,11.8
Botswana,2002,Developing,46,699,2,6.41,6.3300072,88,7,31.1,4,97,6.47,97,34.6,355.618382,1779953,11.4,11.3,0.558,11.9
Botswana,2001,Developing,46.7,679,2,5.48,306.9527349,87,1,3.5,4,97,5.73,97,37.2,3128.97793,1754935,11.8,11.8,0.56,11.8
Botswana,2000,Developing,47.8,647,2,5.37,250.8916484,86,2672,29.9,4,97,4.64,97,38.8,3349.68823,172834,12.3,12.2,0.559,11.7
Congo,2015,Developing,64.7,267,7,,0,8,1359,27.4,10,8,,8,2.8,,,7.5,7.1,0.59,11.1
Congo,2014,Developing,64.2,275,7,0.01,0,9,71,26.8,10,9,5.15,9,3,,,7.6,7.3,0.581,11.1
Congo,2013,Developing,63.9,274,7,0.01,0,85,124,26.2,10,85,5.9,85,3,,,7.7,7.4,0.576,11.1
Congo,2012,Developing,63.7,273,7,0.01,0,62,260,25.6,10,61,3.98,85,3.3,,,7.9,7.5,0.557,10.2
Congo,2011,Developing,62.9,285,7,3.82,0,7,315,25,10,69,2.79,82,3.5,,,8,7.6,0.558,10.7
Congo,2010,Developing,62,298,7,3.53,0,74,4,24.5,10,72,2.29,74,3.8,,,8.1,7.7,0.548,10.5
Congo,2009,Developing,68,314,7,3.47,0,75,1,23.9,11,76,2.27,78,4,,,8.3,7.9,0.545,10.3
Congo,2008,Developing,59.4,338,8,2.58,0,73,2,23.3,11,77,2.9,79,4.3,,,8.4,8,0.527,10
Congo,2007,Developing,58.2,354,8,2.75,0,64,84,22.8,11,71,2.54,72,5,,,8.5,8.2,0.517,9.8
Congo,2006,Developing,56.9,368,8,2.25,0,,126,22.3,12,73,2.37,73,5.5,,,8.7,8.3,0.507,9.6
Congo,2005,Developing,55.3,394,8,2.03,0,,146,21.7,13,62,2.42,62,5.9,,,8.8,8.5,0.496,9.4
Congo,2004,Developing,54.1,48,9,2.58,0,,3524,21.2,13,67,2.56,67,6.3,,,9,8.6,0.497,9.2
Congo,2003,Developing,53.2,417,9,2.45,0,,3712,2.7,14,5,2.61,5,6.8,,,9.1,8.8,0.492,9.4
Congo,2002,Developing,52.6,424,9,2.55,0,,2788,2.3,14,41,2.45,41,7.2,,,9.3,8.9,0.488,9.5
Congo,2001,Developing,52.7,419,9,2.3,0,,2152,19.8,14,32,2.44,31,7.6,,,9.4,9,0.487,9.7
Congo,2000,Developing,52.9,416,9,2.26,0,,1678,19.3,14,31,2.13,33,7.8,,,9.5,9.2,0.487,9.8
Eritrea,2015,Developing,64.7,255,5,,0,95,198,18.6,7,95,,95,0.4,,,8.4,8.2,0.418,5
Eritrea,2014,Developing,64.4,261,5,0.01,0,94,127,18,8,94,3.34,94,0.4,,,8.5,8.3,0.416,5
Eritrea,2013,Developing,64,266,6,0.01,0,94,45,17.5,8,94,3.1,94,0.5,,,8.6,8.4,0.414,5
Eritrea,2012,Developing,63.6,274,6,0.01,0,94,194,17,8,94,2.98,94,0.6,,,8.7,8.6,0.41,5
Eritrea,2011,Developing,62.9,286,6,0.62,20.97991915,96,48,16.5,8,96,3.6,96,0.7,582.775532,447469,8.8,8.7,0.405,5
Eritrea,2010,Developing,62.1,298,6,0.61,17.35739784,9,51,16,9,9,3.24,9,0.9,482.14994,43984,8.9,8.8,0.404,5.1
Eritrea,2009,Developing,61.4,311,6,0.63,1.575160196,92,82,15.5,9,92,3.3,92,1,43.7544499,431334,9,8.9,0.402,5.2
Eritrea,2008,Developing,67,322,6,0.49,11.76572311,94,0,15.1,9,94,3.69,94,1.1,326.825642,4232636,9.1,9.1,0.406,5.2
Eritrea,2007,Developing,62,329,6,1.23,11.42385961,91,55,14.7,9,91,3.29,91,1.3,317.3294336,4153332,9.2,9.2,0.405,5.3
Eritrea,2006,Developing,59.7,336,7,0.97,10.60269773,94,128,14.3,9,94,3.3,94,1.4,297.828588,466648,9.3,9.3,0.405,5.3
Eritrea,2005,Developing,59.4,34,7,1.07,5.064688968,96,19,13.9,9,96,2.97,96,1.6,276.75896,39697,9.4,9.5,0,5.4
Eritrea,2004,Developing,59.1,342,7,0.64,10.26097341,84,24,13.6,10,98,3.14,98,1.8,287.4222243,3858623,9.6,9.6,0,5
Eritrea,2003,Developing,58.8,343,7,0.56,6.913998013,91,376,13.3,10,95,3.5,93,1.9,232.7945459,3738265,9.7,9.7,0,4.7
Eritrea,2002,Developing,58.5,343,7,0.83,0.703132179,86,460,13.1,10,92,4.2,9,1.9,21.7687981,3614639,9.9,9.9,0,4.4
Eritrea,2001,Developing,58.1,345,7,0.61,5.593619538,,204,12.8,10,89,3.95,86,2,215.139213,3497124,1,1,0,4.3
Eritrea,2000,Developing,45.3,593,7,0.83,0.735940361,,789,12.6,10,82,4.43,81,1.9,28.1969487,339281,1.2,1.1,0,3.9
Ethiopia,2015,Developing,64.8,225,136,,0,77,17745,17.6,194,75,,77,0.6,645.4637627,9987333,1.4,1.2,0.441,8.4
Ethiopia,2014,Developing,64.2,234,140,0.01,89.95805845,77,12739,17.2,202,75,4.88,77,0.6,571.1622759,97366774,1.5,1.3,0.435,8.4
Ethiopia,2013,Developing,63.7,237,145,1.86,8.313282039,72,5253,16.8,211,7,5.19,72,0.9,52.1535887,94887724,1.6,1.4,0.427,8.4
Ethiopia,2012,Developing,63.3,241,150,1.84,86.82551124,69,4347,16.4,221,7,5.77,69,1.2,468.567249,92444183,1.7,1.5,0.422,8.4
Ethiopia,2011,Developing,62.6,249,156,1.32,67.77565369,65,3255,16,231,7,6.55,65,1.4,354.8463544,946756,1.9,1.6,0.411,8.2
Ethiopia,2010,Developing,61.8,261,162,1.34,67.73374413,62,4235,15.6,243,69,6.86,61,1.7,341.39992,877267,11,1.7,0.401,8.1
Ethiopia,2009,Developing,68,274,169,1.17,53.77354001,56,1176,15.3,256,65,4.41,58,2,379.7566385,85416253,11.1,1.8,0.393,8.1
Ethiopia,2008,Developing,59.8,289,177,1.13,38.55783268,52,3511,14.9,270,63,4.28,54,2.4,325.3825543,83184892,11.2,1.9,0.378,7.6
Ethiopia,2007,Developing,58.5,39,186,1.06,30.46451811,47,1446,14.5,286,61,4.69,5,2.8,243.326822,8149,11.3,11,0.362,7.1
Ethiopia,2006,Developing,57.2,328,196,1.22,22.18952246,,1451,14.2,304,59,4.47,46,3.3,193.794956,7885689,11.4,11.1,0.346,6.6
Ethiopia,2005,Developing,56,343,206,0.99,18.03753133,,357,13.8,323,56,4.2,44,3.7,161.6266248,7672783,11.5,11.2,0.325,5.8
Ethiopia,2004,Developing,55,354,217,0.86,1.506962482,,73,13.5,342,54,4.23,4,4.1,135.7623858,7462445,11.5,11.3,0.31,5.4
Ethiopia,2003,Developing,54,363,228,0.79,10.97201912,,228,13.2,360,55,4.64,37,4.4,118.8734466,72545144,11.6,11.5,0.306,5.2
Ethiopia,2002,Developing,53.2,369,237,0.8,10.82452594,,3332,12.9,377,55,4.73,35,4.6,111.3634356,7497192,11.7,11.6,0.298,4.9
Ethiopia,2001,Developing,52.5,372,246,0.85,1.186227577,,2366,12.6,392,55,4.26,32,4.9,12.1789279,68492257,11.8,11.7,0.283,4.3
Ethiopia,2000,Developing,51.2,391,253,0.88,11.59481766,,1660,12.3,404,55,4.36,3,5,123.876257,66537331,11.9,11.8,0,3.9
Haiti,2015,Developing,63.5,24,14,,0,6,0,49.9,18,56,,6,0.5,814.5463952,171161,3.9,3.9,0.49,9.1
Haiti,2014,Developing,63.1,245,14,0.01,5.103249438,48,0,48.8,19,55,7.56,48,0.5,83.1148117,1572466,3.9,3.9,0.487,9.1
Haiti,2013,Developing,62.7,253,14,5.68,4.989712322,68,0,47.7,19,67,8.1,68,0.5,81.265673,1431776,3.9,3.9,0.483,9.1
Haiti,2012,Developing,62.3,259,15,5.68,26.37942542,,0,46.5,20,67,9.88,67,0.8,766.8437623,128921,3.9,3.9,0.477,8.9
Haiti,2011,Developing,62.3,259,15,5.68,4.106484317,,0,45.3,20,67,1.41,68,1.5,74.9358452,114554,4,4,0.47,8.7
Haiti,2010,Developing,36.3,682,23,5.76,36.2929176,,0,44.2,58,66,8.9,66,1.9,662.2795182,9999617,4,4,0.47,8.6
Haiti,2009,Developing,62.5,251,16,5.85,41.30079452,,0,43,21,65,6.68,65,2,668.297646,985287,4.1,4.1,0.466,8.5
Haiti,2008,Developing,62.1,259,16,5.95,63.83195683,,0,41.8,22,64,5.92,63,2.4,674.7564147,97529,4.2,4.2,0.462,8.4
Haiti,2007,Developing,61.8,266,17,6.08,56.77858733,,0,4.7,23,62,5.56,63,2.7,615.8198192,9556889,4.2,4.2,0.458,8.4
Haiti,2006,Developing,61.1,28,17,6.18,6.995556386,,0,39.6,23,61,5.7,6,3.3,55.47626,949457,4.3,4.3,0.455,8.3
Haiti,2005,Developing,65,29,17,5.57,38.10904264,,0,38.5,24,6,4.41,6,3.9,465.311876,926344,4.4,4.4,0.452,8.2
Haiti,2004,Developing,58.7,32,18,6.1,64.39853344,,0,37.5,24,58,5.61,55,4.3,387.9429725,9119178,4.5,4.5,0.45,8.1
Haiti,2003,Developing,59.7,3,18,6.64,44.25687135,,0,36.5,25,56,5.32,53,4.6,329.782946,8976552,4.5,4.6,0.447,8.1
Haiti,2002,Developing,59.3,33,19,6.1,50.28558223,,0,35.6,26,54,5.47,48,4.8,393.16327,8834733,4.6,4.7,0.444,8
Haiti,2001,Developing,58.9,35,19,6.22,60.77815868,,159,34.8,27,52,5.63,45,5,413.7383164,8692567,4.7,4.7,0.443,7.9
Haiti,2000,Developing,58.6,35,20,4.79,74.46033036,,992,34,28,5,6.6,41,5.1,462.486524,85492,4.8,4.8,0.439,7.8
Liberia,2015,Developing,61.4,259,8,,0,52,1060,27.3,11,52,,52,0.9,452.38717,4499621,6.5,6.4,0.427,9.9
Liberia,2014,Developing,58.1,329,8,0.01,54.37396957,5,34,26.7,11,49,1.4,5,0.9,458.4651734,439737,6.7,6.5,0.426,9.9
Liberia,2013,Developing,61.1,258,9,0.01,45.04892458,76,0,26.1,11,75,9.25,76,1.1,454.1222236,4286291,6.8,6.7,0.419,9.8
Liberia,2012,Developing,67,261,9,0.01,48.09891474,8,43,25.6,12,8,1.19,8,1.2,415.361958,4181563,7,6.9,0.416,9.6
Liberia,2011,Developing,62,266,9,3.72,60.44658161,77,279,25,12,77,11.23,77,1.5,379.689583,47167,7.2,7,0.406,9.5
Liberia,2010,Developing,59.7,272,9,3.64,41.91052416,47,2200,24.5,13,71,11.87,7,1.8,327.42597,3948125,7.4,7.2,0.403,9.6
Liberia,2009,Developing,59.2,277,10,3.75,5.592170255,64,6,24,13,84,14.39,81,2.1,33.667491,3811528,7.6,7.4,0.4,9.7
Liberia,2008,Developing,58.6,281,10,3.88,40.03344077,64,1,23.4,14,79,11.83,75,2.4,232.61732,3662993,7.7,7.6,0.394,9.8
Liberia,2007,Developing,57.9,286,10,4.03,3.686899287,,1,22.9,14,67,1.24,65,2.8,21.3733292,3512932,7.9,7.8,0.383,9.9
Liberia,2006,Developing,56.7,32,11,4.05,15.79934152,,20,22.4,15,66,1.9,6,3,178.92799,3375838,8.1,8.1,0.377,10
Liberia,2005,Developing,55.3,316,12,4.19,22.39648813,,8,22,16,66,8.4,6,3.1,168.648254,326123,8.3,8.3,0.372,10.1
Liberia,2004,Developing,54,329,12,4.24,17.85870796,,4,21.5,17,47,8.77,31,3.2,149.4452549,3176414,8.5,8.5,0.335,10.2
Liberia,2003,Developing,50,42,13,4.21,9.758449266,,142,21.1,18,49,3.44,35,3.2,133.494518,3116233,8.7,8.7,0.373,10.3
Liberia,2002,Developing,56,371,13,4.27,10.424369,,131,2.7,19,51,5.43,39,3.1,177.285187,362863,8.8,8.9,0.376,10.4
Liberia,2001,Developing,51.5,333,14,4.4,16.72142854,,1379,2.4,20,54,6.41,42,3.1,174.1815473,2991132,9,9,0.386,10.5
Liberia,2000,Developing,51.9,39,14,4.46,12.19709744,,5977,2.2,20,56,5.91,46,3.1,183.4149991,2884522,9.2,9.2,0.338,8.7
